username,ulasan,rating,tanggal
Nur aini Dianawati,plissss PERBAIKI APLIKASI KAI ACCES LEMOT SULIT jadi menyusahkan bgt serius,1,2026-05-25 05:11:50
Tri dini Puji ananda,"Kereta Kuala Stabas rute Baturaja–Tanjung Karang sering tertulis tiket habis atau penuh di aplikasi. Padahal saat saya naik kereta, kursi masih banyak yang kosong. Jadi cukup mengecewakan saat mau mesan tiket, apalagi kalau sedang buru-buru mau pulang. Mohon sistem ketersediaan tiket diperbaiki agar lebih akurat, dan untuk calo tiket bisa ditindak atau dihilangkan karena cukup meresahkan penumpang. terimakasih",1,2026-05-25 03:49:28
Tri diana puja Amanda J/23,"Kereta Kuala Stabas rute Baturaja–Tanjung Karang sering tertulis tiket habis atau penuh di aplikasi. Padahal saat saya naik kereta, kursi masih banyak yang kosong. Jadi cukup mengecewakan saat ingin memesan tiket, apalagi kalau sedang buru-buru mau pulang. Mohon juga pengawasan terhadap calo tiket lebih diperketat. Semoga sistem ketersediaan tiket bisa diperbaiki agar lebih akurat.",2,2026-05-25 03:44:51
Yusuf Rahmansyah,ok,5,2026-05-25 03:38:51
Junanto 0297.saturdays,"Jadwal KRL gajelas tolong perbaiki sering banget ada jadwalnya tapi gak Dateng kereta nya, padahal sudah memperhitungkan waktu agar naik KRL dijam tersebut tapi gajelas gak Dateng. saya perhatikan selalu kaya gitu padahal jadwal udah pasti Dateng jam berapa nya. aneh sistem nya gimana. tiba tiba jadwalnya ilang dan ganti ke jadwal berikutnya yang buat saya jadi telat. penumpang pun jadi numpuk banget kalau di satuin ke jadwal berikutnya. semoga dilihat ulasannya dan bisa berbenah.",1,2026-05-25 02:10:07
MOH HILMAN MAULANA,error,1,2026-05-25 01:51:11
Adhy Rohmady,"suka error atau di seting dari sananya ya, tiket tidak tersedia.",1,2026-05-25 01:43:15
Rian Wibowo,sangat baik,5,2026-05-25 01:35:38
Titin Supriatin,"transaksi lebih mudah, praktis, gak perlu antri ke loket...",5,2026-05-25 00:53:54
riyko harjunanto,"Aplikasinya buat searching tiket sering enggak muncul, lebih woth it Aplikasi Traveloka dah",1,2026-05-25 00:37:26
Lia Sri Mulyani,Ih gimana si kenapa ga bisa dibuka aplikasinya saya mau cek tiket pun gabisa masuk jadi banyak bug gini dah,1,2026-05-25 00:14:52
Muhamad Denii,aflikasi terbaik,5,2026-05-24 23:45:27
VENTI ERSHANTI,aplikasi akurat dan proses cepat,5,2026-05-24 23:12:39
suanda husahawan,ok,5,2026-05-24 22:45:02
Fhafa Ahurayazda,"kenapa bisa di aplikasi tersisa 2 kursi, tapi pas proses pilih kursi ternyata ada banyak yang kosong. kurang valid data nya kak",3,2026-05-24 22:42:03
Zaenal Saputra,cukup baik,4,2026-05-24 22:12:27
Muhammad irham,"APLIKASI BURUK, GAMPANG ERROR",1,2026-05-24 21:16:23
Fawwaz Ramadhan Wibowo,"makin lama aplikasinya ga berbenah, udah banyak masukan tapi problem yang terjadi tetep sama aja, war tiket di hari libur juga tiketnya muncul telat",2,2026-05-24 19:12:43
riris,"Ngga suka bgt sama KAI yg sekarang, dari mulai eror lah, mana udah milih kursih, tiba tiba waktu udah di bayar kursihnya berubah, makeee bgt, huu nyawitttt",1,2026-05-24 18:44:56
Riki Wahyu,saya baru instal apk ini namun saya dibikin kecewa berat dan saya muak saya bergadang Samapi jam 00.00 untuk dapat tiket pulang tanggal 01 juni 2026 yang jam 19.00 waktu itu jam 00.00 saya coba tidak keluar jadwal tulisannya gitu trus saya coba sampai hampir satu jam baru jam 01.00sya uninstall saya instal lagi bisa tapi tiket abis ehhh tapi sebelum itu sudah syaa uninstall ya selisih 5mnitan,1,2026-05-24 18:37:43
Emma Rahmadina,aplikasi nyawit sering error gajelas,1,2026-05-24 18:36:57
Budi Suryawan,aplikasi payah mau bayar tiket susah,1,2026-05-24 18:21:11
Safiqa Mawazinuhu,"aplikasi sudah lebih bagus, akan tetapi lebih diperbaiki lagi untuk kereta lokal, jika tiket yang dipesan lebih dari 1, tempat duduknya dibuat otomatis langsung sejajar atau didekatnya. jadi tidak perlu kita mengubah kursi lagi. karena terkadang sdh penuh. trims.",4,2026-05-24 18:04:19
patrik krismayan astamas,"pengalaman buruk terus,,, setiap pulang dari lampung ke baturaja selalu ngga tampil jadwal tiket nya,, padahal sudah capek nunggu sampe jam 1pagi tapi ngga muncul,,, eh tau tau nya tiket habis semua",1,2026-05-24 17:48:17
Muhammad Sirojudin,"min maaf sebelumnya, knp ya kok saya tidak pernah dapat tiket 🙏 setiap mau pulang kampung pasti tiket tidak tersedia, padahal sudah nahan tidur sampai jam 2 pagi sama saja tiket nya tidak mau muncul",2,2026-05-24 17:23:50
Ananta Bisma,00:00 tiket lokal gak muncul bahkan sampe 00:30,1,2026-05-24 17:21:10
Ahmad Yudha Baihaqi,"Aplikasi sering error , tolong di perbaiki lagi",1,2026-05-24 17:19:23
Putri Otte1595,"udah di belain begadang, sinyal bagus, ehh tiba² error tolonglaa perbaiki Napa",2,2026-05-24 17:17:33
Liana _htsn,jelek sering error jelek jelek jelek apus aja makin jelek error terus,1,2026-05-24 17:15:12
Cahya Ardinia,"selalu ada kendala saat pesan tiket terutama saat hari libur panjang, pasti lama dan error server down gak pernah mulus dalam pemesanan. tidak seperti dulu, sekali tiket dibatalkan pasti langsung batal! sekarang harus tunggu waktu 13-14 menit untuk memesan ulang! buang waktu!!! perbaiki lagi aplikasi nya biar cepat update kursi kereta apabila sudah penuh! FIX YOUR APPS!!",1,2026-05-24 17:11:05
Sam James,"diperbaiki lagi biar kagak sulit masuk cari tiketnya.., dbelain begadang malah g bisa dibuka jadwalnya hadewh",4,2026-05-24 17:08:17
Nasywa Ghina Airison,aplikasi jelek bot semua yg war,1,2026-05-24 17:08:11
secret Dawn,"sekarang mau pesen tiket susah pdhl udh nge war jam 12 cpt bgt abis nya selalu ga kebagian :( masa mau pesen aja udh nunggu jam 12 mlm pas di buka tiket nya abis mlu cape selalu nge war tapi ga dpt""",1,2026-05-24 17:08:10
Fahri Alfinanda,"aplikasi tolol udah nunggu sampe jam 12 pas, pas dibuka malah eror gajelass",1,2026-05-24 17:05:47
